series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP500,Outdoor,Hard,1st Round,3,Paire B.,Dimitrov G.,32,21,1187,1555,6,4,3,6,6,1,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Kyrgios N.,Ramos-Vinolas A.,34,71,1125,703,6,7,6,3,6,3,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Bautista R.,Gasquet R.,22,11,1510,2445,6,4,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Sousa J.,Lopez F.,45,15,951,2040,6,4,4,6,6,1,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Cilic M.,Young D.,14,51,2270,861,7,5,5,7,6,4,,,,,2,1,2015
ATP500,Outdoor,Hard,2nd Round,3,Muller G.,Chardy J.,43,27,1005,1365,7,6,7,6,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Simon G.,Vesely J.,10,40,2530,1042,6,4,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Nishikori K.,Querrey S.,6,50,4540,900,7,6,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Wawrinka S.,Ito T.,4,127,6005,444,6,3,2,6,6,4,,,,,2,1,2015
ATP500,Outdoor,Hard,2nd Round,3,Krajicek A.,Sousa J.,124,45,450,951,2,6,6,4,6,3,,,,,2,1,2015
ATP500,Outdoor,Hard,2nd Round,3,Cilic M.,Johnson S.,14,48,2270,915,6,3,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Kyrgios N.,Bautista R.,34,22,1125,1510,6,4,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Paire B.,Baghdatis M.,32,49,1187,907,6,3,2,6,7,5,,,,,2,1,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Muller G.,Simon G.,43,10,1005,2530,6,3,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Krajicek A.,4,124,6005,450,6,3,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Cilic M.,6,14,4540,2270,3,6,7,5,6,3,,,,,2,1,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Paire B.,Kyrgios N.,32,34,1187,1125,3,6,6,4,6,1,,,,,2,1,2015
ATP500,Outdoor,Hard,Semifinals,3,Wawrinka S.,Muller G.,4,43,6005,1005,6,4,7,6,,,,,,,2,0,2015
ATP500,Outdoor,Hard,Semifinals,3,Paire B.,Nishikori K.,32,6,1187,4540,1,6,6,4,6,2,,,,,2,1,2015
ATP500,Outdoor,Hard,The Final,3,Wawrinka S.,Paire B.,4,32,6005,1187,6,2,6,4,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Dolgopolov O.,40,37,1051,1135,6,3,1,6,7,6,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Tomic B.,Verdasco F.,20,42,1585,1040,6,3,7,6,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Klizan M.,Zhang Ze,44,182,990,275,7,6,6,2,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Kyrgios N.,Haider-Maurer A.,32,60,1215,785,6,3,6,2,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Bautista R.,Garcia-Lopez G.,23,28,1510,1420,6,2,6,3,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Johnson S.,Seppi A.,47,27,915,1440,4,6,6,1,7,6,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Chardy J.,21,29,1575,1400,6,4,7,6,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Thiem D.,Lu Y.H.,18,91,1600,584,6,3,6,3,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Estrella Burgos V.,Young D.,66,48,717,871,6,2,4,6,6,4,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Ramos-Vinolas A.,Querrey S.,70,52,703,845,4,6,6,4,7,5,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Mannarino A.,13,41,2280,1050,6,1,6,2,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Lopez F.,Kuznetsov An.,17,88,1725,589,6,4,7,6,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Tsonga J.W.,Robredo T.,15,30,1990,1290,6,7,6,2,6,2,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Mayer L.,Bai Y.,38,241,1090,202,6,0,6,1,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Wu D.,12,227,2350,217,4,6,6,3,7,6,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Pospisil V.,Bolelli S.,43,58,995,790,6,3,6,4,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,Soeda G.,16,119,1970,464,6,4,6,2,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Raonic M.,Bellucci T.,9,34,2770,1205,7,6,7,6,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Sock J.,Kubot L.,33,614,1210,48,6,4,6,2,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Troicki V.,Cuevas P.,24,35,1499,1180,2,6,6,4,6,4,,,,,2,1,2015
Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,Muller G.,11,36,2400,1140,7,6,6,2,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Haas T.,10,467,2475,83,6,3,7,5,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Fognini F.,Sousa J.,26,45,1470,986,7,6,6,3,,,,,,,2,0,2015
Masters 1000,Outdoor,Hard,1st Round,3,Simon G.,Basilashvili N.,14,93,2020,581,6,3,4,6,6,0,,,,,2,1,2015
